Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Month
2019-12-11 00:00:00-05:00,65.15162663278025,65.70665726058309,65.0764923543754,65.62667083740234,78756800.0,0.0,0.0,2019-12
2019-12-12 00:00:00-05:00,64.90200789821868,66.06053922969089,64.79051947792334,65.79393005371094,137310400.0,0.0,0.0,2019-12
2019-12-13 00:00:00-05:00,65.79390738941201,66.72460941322264,65.66545129385757,66.6882553100586,133587600.0,0.0,0.0,2019-12
2019-12-16 00:00:00-05:00,67.13666515565427,68.05525192322642,67.13182040577094,67.82984161376953,128186000.0,0.0,0.0,2019-12
2019-12-17 00:00:00-05:00,67.75955197392975,68.29276286824187,67.5729218738412,67.96314239501953,114158400.0,0.0,0.0,2019-12
2019-12-18 00:00:00-05:00,67.81532290113233,68.32430288046541,67.65051259058782,67.80078125,116028400.0,0.0,0.0,2019-12
2019-12-19 00:00:00-05:00,67.74257652962528,68.14975732536168,67.60927567039256,67.86860656738281,98369200.0,0.0,0.0,2019-12
2019-12-20 00:00:00-05:00,68.4042663685893,68.50605789230497,67.51476289158593,67.7280502319336,275978000.0,0.0,0.0,2019-12
2019-12-23 00:00:00-05:00,67.99224072863827,68.89385987671328,67.9534605355789,68.83326721191406,98572000.0,0.0,0.0,2019-12
2019-12-24 00:00:00-05:00,69.00049581934775,69.04897290437611,68.57150246344902,68.89869689941406,48478800.0,0.0,0.0,2019-12
2019-12-26 00:00:00-05:00,69.03200514767786,70.28263849577442,69.00292185530243,70.26567077636719,93121200.0,0.0,0.0,2019-12
2019-12-27 00:00:00-05:00,70.5589370512014,71.24969483021466,69.83182515678001,70.23900604248047,146266000.0,0.0,0.0,2019-12
2019-12-30 00:00:00-05:00,70.1566008802019,70.93946068223316,69.12895177016881,70.6558837890625,144114400.0,0.0,0.0,2019-12
2019-12-31 00:00:00-05:00,70.27051535514738,71.17940522249022,70.17114250873013,71.17213439941406,100805600.0,0.0,0.0,2019-12
2020-01-02 00:00:00-05:00,71.79988841807065,72.85662843705877,71.54540216077686,72.79603576660156,135480400.0,0.0,0.0,2020-01
2020-01-03 00:00:00-05:00,72.0204315021118,72.85176099103282,71.86289207131898,72.08829498291016,146322800.0,0.0,0.0,2020-01
2020-01-06 00:00:00-05:00,71.20606963688756,72.70149228565275,70.95400211001883,72.66271209716797,118387200.0,0.0,0.0,2020-01
2020-01-07 00:00:00-05:00,72.67240156846412,72.9293138189329,72.10041048902463,72.32096862792969,108872000.0,0.0,0.0,2020-01
2020-01-08 00:00:00-05:00,72.02285750459463,73.78731540018381,72.02285750459463,73.4843521118164,132079200.0,0.0,0.0,2020-01
